subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
DMCC6721369,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0119652358310946,-0.0241436851836107
DMCC6721369,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0197089659529642,-0.0494622361172102
DMCC6904377,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.0877065761354271,0.210037424036613
DMCC6904377,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.0350094001844635,0.0838395996721789
DMCC6904377,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0460934090494472,0.13728749023299
DMCC7297690,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0581030618893451,0.195225328132647
DMCC7297690,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0125829294408957,-0.0422784350615995
DMCC7297690,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0492162831115326,0.20567123909529
DMCC7921988,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0364610691318228,0.0807869401576393
DMCC7921988,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0257906322403296,0.0571444094492748
DMCC7921988,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0189214065470429,0.0521426125956655
DMCC8033964,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0663221018412496,0.248676851317958
DMCC8033964,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.00585706805077535,0.0219612648029204
DMCC8033964,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.016482614222945,0.0768653807864911
DMCC8050964,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0624955301768936,0.13078815267454
DMCC8050964,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0122593403755859,-0.0256558585260881
DMCC8050964,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0791559604119361,-0.206030104027754
DMCC8078683,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.0422090273989326,0.0785933246068127
DMCC8078683,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0327557728373403,-0.0609913387252604
DMCC8078683,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0205229405648088,-0.0475277782510255
DMCC9441378,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.00656381947062097,0.0145858828679938
DMCC9441378,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0086648596051874,-0.0192547384696608
DMCC9441378,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.117778398355347,0.325513757464115
DMCC9478705,TRUE,Auditory_l,Auditory,l,tdi,z,target,-0.00699659269370049,-0.0159770456192728
DMCC9478705,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.00563009019907136,0.012856573462133
DMCC9478705,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0367704695761351,-0.104432739193322
DMCC9953810,TRUE,Auditory_l,Auditory,l,tdi,z,target,-0.00816079402108347,-0.0217705795562775
DMCC9953810,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0218544981342634,-0.0583013232615966
DMCC9953810,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.159734913190645,0.529986777432686
107321,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0413099204457011,0.114085828344374
107321,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.00471786809171957,-0.013029361554225
107321,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0216833494289991,0.0744785684137114
115825,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.005325433567492,0.0245057070223991
115825,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.00712578579537559,-0.032790272715407
115825,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,-0.00272136560858274,-0.015574953831374
123117,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0325487400626992,0.12215958717976
123117,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.00224688687884124,-0.00843285402231086
123117,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0216013243492591,0.100832692163516
130114,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0206732560857169,0.0726881612864905
130114,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,0.0280667214637095,0.0986839406467098
130114,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.000857177233286967,0.0037484613448568
130518,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0208803338106668,0.0557820346966271
130518,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,-0.0297729367351512,-0.0795387183480879
130518,FALSE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,-0.0579360692149028,-0.192501248574234
132017,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0364041605247127,0.126817286893281
132017,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,distractor,0.0204129653705359,0.0711104678263508
132017,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,incongruency,0.0420383233297549,0.1821379455017
138837,TRUE,CinguloOperc_l,CinguloOperc,l,tdi,z,target,0.0525775183459995,0.174616539904466
