subj,is.analysis.group,roi,param,taua
317332,TRUE,vwfa,orthog,0.0336134453781513
346945,TRUE,vwfa,orthog,-0.00980392156862745
352738,TRUE,vwfa,orthog,-0.0467787114845938
393550,FALSE,vwfa,orthog,0.0442577030812325
448347,TRUE,vwfa,orthog,-0.0358543417366947
580650,TRUE,vwfa,orthog,0.00420168067226891
594156,TRUE,vwfa,orthog,-0.101120448179272
601127,TRUE,vwfa,orthog,-0.103921568627451
765864,TRUE,vwfa,orthog,-0.0218487394957983
814649,TRUE,vwfa,orthog,0.147899159663866
843151,TRUE,vwfa,orthog,0.0927170868347339
849971,TRUE,vwfa,orthog,0.0168067226890756
873968,TRUE,vwfa,orthog,-0.0994397759103641
877168,TRUE,vwfa,orthog,-0.0117647058823529
DMCC1328342,FALSE,vwfa,orthog,0.136694677871148
DMCC1596165,FALSE,vwfa,orthog,0.116526610644258
DMCC1971064,TRUE,vwfa,orthog,-0.0291316526610644
DMCC2442951,TRUE,vwfa,orthog,0.0260504201680672
DMCC2803654,FALSE,vwfa,orthog,0.0820728291316527
DMCC2834766,FALSE,vwfa,orthog,-0.0240896358543417
DMCC3062542,TRUE,vwfa,orthog,0.112044817927171
DMCC4191255,FALSE,vwfa,orthog,-0.0131652661064426
DMCC4260551,FALSE,vwfa,orthog,0.1296918767507
DMCC4854075,TRUE,vwfa,orthog,0.0929971988795518
DMCC5009144,TRUE,vwfa,orthog,-0.120728291316527
DMCC5195268,FALSE,vwfa,orthog,-0.0145658263305322
DMCC5775387,FALSE,vwfa,orthog,0.0338935574229692
DMCC6371570,FALSE,vwfa,orthog,0.0215686274509804
DMCC6418065,TRUE,vwfa,orthog,0.0929971988795518
DMCC6484785,TRUE,vwfa,orthog,0.0955182072829132
DMCC6661074,TRUE,vwfa,orthog,0.0635854341736695
DMCC6671683,TRUE,vwfa,orthog,-0.0302521008403361
DMCC6705371,FALSE,vwfa,orthog,0.0271708683473389
DMCC6721369,TRUE,vwfa,orthog,0.0134453781512605
DMCC6904377,FALSE,vwfa,orthog,-0.00812324929971989
DMCC7297690,TRUE,vwfa,orthog,0.0739495798319328
DMCC7921988,TRUE,vwfa,orthog,0.00812324929971989
DMCC8033964,TRUE,vwfa,orthog,-0.0392156862745098
DMCC8050964,TRUE,vwfa,orthog,-0.0198879551820728
DMCC8078683,FALSE,vwfa,orthog,0.123809523809524
DMCC9441378,TRUE,vwfa,orthog,-0.0305322128851541
DMCC9478705,TRUE,vwfa,orthog,-0.0215686274509804
DMCC9953810,TRUE,vwfa,orthog,0.0431372549019608
107321,TRUE,vwfa,dphono,0.0212885154061625
115825,FALSE,vwfa,dphono,0.00560224089635854
123117,TRUE,vwfa,dphono,0.0366946778711485
130114,TRUE,vwfa,dphono,0.0952380952380952
130518,FALSE,vwfa,dphono,-0.0722689075630252
132017,TRUE,vwfa,dphono,-0.0162464985994398
138837,TRUE,vwfa,dphono,-0.0380952380952381
141422,TRUE,vwfa,dphono,0.000840336134453782
150423,TRUE,vwfa,dphono,0.0523809523809524
158136,TRUE,vwfa,dphono,-0.0369747899159664
160830,TRUE,vwfa,dphono,0.0549019607843137
161832,TRUE,vwfa,dphono,-0.00812324929971989
165032,TRUE,vwfa,dphono,0.0417366946778711
171330,TRUE,vwfa,dphono,0.0848739495798319
178243,TRUE,vwfa,dphono,0.02296918767507
178647,FALSE,vwfa,dphono,-0.0817927170868347
178950,TRUE,vwfa,dphono,0.0565826330532213
182436,TRUE,vwfa,dphono,-0.034453781512605
197449,TRUE,vwfa,dphono,-0.0932773109243698
203418,TRUE,vwfa,dphono,0.0938375350140056
204319,TRUE,vwfa,dphono,0.0554621848739496
233326,FALSE,vwfa,dphono,0.0212885154061625
300618,TRUE,vwfa,dphono,0.0481792717086835
317332,TRUE,vwfa,dphono,-0.0417366946778711
346945,TRUE,vwfa,dphono,-0.0677871148459384
352738,TRUE,vwfa,dphono,-0.00196078431372549
393550,FALSE,vwfa,dphono,-0.0243697478991597
448347,TRUE,vwfa,dphono,0.111204481792717
580650,TRUE,vwfa,dphono,0.00952380952380953
