subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
DMCC9441378,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00268964023621857,-0.00597682151651465
DMCC9441378,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0947405153914869,0.257844259108946
DMCC9478705,TRUE,Auditory_l,Auditory,l,tdclust,z,target,-0.00888725654990965,-0.0202944646836356
DMCC9478705,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00373942634286222,0.00853915439777015
DMCC9478705,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0297292179253226,-0.0831455474378066
DMCC9953810,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.00202493859375975,0.00540193596825617
DMCC9953810,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0116687655194203,-0.0311288077370628
DMCC9953810,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.140981852284382,0.46062384472297
107321,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0415099612158257,0.114638282009645
107321,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.00451782732159501,-0.0124769078889534
107321,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.012041919335247,0.0407304008875375
115825,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.00449702512634028,0.0206936728853726
115825,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.00795419423652731,-0.0366023068524336
115825,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,-0.00633113345120171,-0.03568119270951
123117,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0334503041325854,0.125543272519998
123117,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,-0.00134532280895511,-0.00504916868207212
123117,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.0162100465939464,0.0745114932726305
130114,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0209219669622499,0.0735626406733937
130114,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,distractor,0.0283154323402424,0.099558420033613
130114,TRUE,CinguloOperc_l,CinguloOperc,l,tdclust,z,conclust,0.00192085387584113,0.00827169964875131
130518,FALSE,CinguloOperc_l,CinguloOperc,l,tdclust,z,target,0.0182674113898124,0.0488015845533809
