subj,is.analysis.group,roi.hemi,roi,hemi,param,taua
DMCC9478705,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.049859943977591
DMCC9953810,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.0313725490196078
107321,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.00252100840336135
115825,FALSE,FrontoParietal_l,FrontoParietal,l,target,-0.0366946778711485
123117,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0305322128851541
130114,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.00896358543417367
130518,FALSE,FrontoParietal_l,FrontoParietal,l,target,0.167226890756303
132017,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.00980392156862745
138837,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0120448179271709
141422,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.019327731092437
150423,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0473389355742297
158136,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.00168067226890756
160830,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0745098039215686
161832,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.00588235294117647
165032,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0630252100840336
171330,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.0420168067226891
178243,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0507002801120448
178647,FALSE,FrontoParietal_l,FrontoParietal,l,target,-0.00980392156862745
178950,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0168067226890756
182436,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.038655462184874
197449,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.00588235294117647
203418,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.0246498599439776
204319,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.015406162464986
233326,FALSE,FrontoParietal_l,FrontoParietal,l,target,0.0333333333333333
300618,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.00168067226890756
317332,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0266106442577031
346945,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0988795518207283
352738,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.00224089635854342
393550,FALSE,FrontoParietal_l,FrontoParietal,l,target,0.0128851540616246
448347,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0389355742296919
580650,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.0112044817927171
594156,TRUE,FrontoParietal_l,FrontoParietal,l,target,0.015406162464986
601127,TRUE,FrontoParietal_l,FrontoParietal,l,target,-0.0137254901960784
