param,roi,du,dl,p
incongruency,TGv_R,0.00581495993879244,0.00500295097881143,0.00581495993879244
incongruency,TPOJ1_L,0.0224420186141146,0.000474418237322638,0.0224420186141146
incongruency,TPOJ1_R,0.0100327070881718,0.0138689784908213,0.0138689784908213
incongruency,TPOJ2_L,0.0198447244730531,0.00293416996467677,0.0198447244730531
incongruency,TPOJ2_R,0.0391014344864367,0.00125418972229241,0.0391014344864367
incongruency,TPOJ3_L,0.0560044935704358,0.000169871674874145,0.0560044935704358
incongruency,TPOJ3_R,0.0494898175502474,0.000697227393576583,0.0494898175502474
incongruency,V1_L,0.290312186981456,5.14109935245699e-06,0.290312186981456
incongruency,V1_R,0.357616644653076,3.75402789050128e-05,0.357616644653076
incongruency,V2_L,0.257405893517509,4.13589876160359e-05,0.257405893517509
incongruency,V2_R,0.317952491590814,7.58202674511211e-06,0.317952491590814
incongruency,v23ab_L,0.417999847570906,9.9427666651053e-06,0.417999847570906
incongruency,v23ab_R,0.0305329559343832,0.000974242470745068,0.0305329559343832
incongruency,V3_L,0.117445003664317,2.6590321951403e-05,0.117445003664317
incongruency,V3_R,0.273618733115338,1.59863441329122e-05,0.273618733115338
incongruency,V3A_L,0.06442218652602,0.000270054854583535,0.06442218652602
incongruency,V3A_R,0.000939208136164993,0.031242714183799,0.031242714183799
incongruency,V3B_L,0.00778800652936695,0.00210857644920814,0.00778800652936695
incongruency,V3B_R,0.464655999297367,9.9427666651053e-06,0.464655999297367
incongruency,V3CD_L,0.0124716507051286,0.0044264120149311,0.0124716507051286
incongruency,V3CD_R,0.0278237818331224,0.000939208136164993,0.0278237818331224
incongruency,V4_L,0.0505323303472771,0.00154930630146488,0.0505323303472771
incongruency,V4_R,0.121425341884653,0.000104820054517063,0.121425341884653
incongruency,V4t_L,0.0474553756509799,0.00139478515939651,0.0474553756509799
incongruency,V4t_R,0.0494898175502474,0.000373964637715218,0.0494898175502474
incongruency,V6_L,0.0153964245852336,0.00500295097881143,0.0153964245852336
incongruency,V6_R,0.00673919364593978,0.0150018731966721,0.0150018731966721
incongruency,V6A_L,0.00112641964097016,0.0188783391841945,0.0188783391841945
incongruency,V6A_R,0.00101044647226267,0.0607036098815073,0.0607036098815073
incongruency,V7_L,0.0560044935704358,0.000474418237322638,0.0560044935704358
incongruency,V7_R,0.0349948039023076,0.00210857644920814,0.0349948039023076
incongruency,V8_L,0.016211768700277,0.00125418972229241,0.016211768700277
incongruency,V8_R,0.00144468843241263,0.0683119460029893,0.0683119460029893
incongruency,VIP_L,0.276919801887591,4.13589876160359e-05,0.276919801887591
incongruency,VIP_R,0.0259235301005525,6.95696230561538e-05,0.0259235301005525
incongruency,VMV1_L,0.0253142923706715,0.00104785405292773,0.0253142923706715
incongruency,VMV1_R,0.0766212510782385,0.000421484656790483,0.0766212510782385
incongruency,VMV2_L,0.0426564486753929,0.000228656675970385,0.0426564486753929
incongruency,VMV2_R,0.550981177833954,9.69683087603813e-07,0.550981177833954
incongruency,VMV3_L,0.0417445316253282,0.000751764235129571,0.0417445316253282
incongruency,VMV3_R,0.297118151962007,9.42205620191317e-06,0.297118151962007
incongruency,VVC_L,0.046463109346826,0.000512979310913764,0.046463109346826
incongruency,VVC_R,0.0259235301005525,0.00249124170730042,0.0259235301005525
target,1_L,0.511794819779652,3.44815417641087e-06,0.511794819779652
target,1_R,0.361306538916807,4.172724370477e-07,0.361306538916807
target,10d_L,0.535344000702633,9.10284944311003e-07,0.535344000702633
target,10d_R,0.0810485589689858,0.000185070342453741,0.0810485589689858
target,10pp_L,0.627548759436971,8.0153460224608e-07,0.627548759436971
target,10pp_R,0.335761266485028,1.5176947176343e-05,0.335761266485028
target,10r_L,0.229509176087476,6.64154241025728e-05,0.229509176087476
target,10r_R,0.456829205908743,2.89562552602263e-06,0.456829205908743
target,10v_L,0.342990307072263,2.57434743922147e-06,0.342990307072263
target,10v_R,0.387474019996045,7.58202674511211e-06,0.387474019996045
target,11l_L,0.980643492394867,1.6054608309446e-08,0.980643492394867
target,11l_R,0.984603575414766,8.91429863258965e-09,0.984603575414766
target,13l_L,0.075186341615888,0.000185070342453741,0.075186341615888
target,13l_R,0.149560509690096,0.000119805714378529,0.149560509690096
target,2_L,0.773484265464893,6.14077091398713e-08,0.773484265464893
target,2_R,0.0571520022522751,2.52931065283235e-05,0.0571520022522751
target,23c_L,0.872431282556416,2.82927992145688e-08,0.872431282556416
target,23c_R,0.314438169939685,1.23042184991817e-05,0.314438169939685
target,23d_L,0.161436062851756,1.3670815556921e-05,0.161436062851756
target,23d_R,0.06442218652602,0.000905310349144983,0.06442218652602
target,24dd_L,0.660631468368335,6.60924269979546e-07,0.660631468368335
target,24dd_R,0.398852062608937,5.09053521113856e-07,0.398852062608937
target,24dv_L,0.20056866495605,1.49831831741665e-06,0.20056866495605
target,24dv_R,0.634990855030521,5.80366831925972e-07,0.634990855030521
target,25_L,0.127568717443584,0.000119805714378529,0.127568717443584
target,25_R,0.220594280189264,1.68355628904493e-05,0.220594280189264
target,31a_L,0.214760898125936,4.77627660870894e-05,0.214760898125936
target,31a_R,0.166350740319491,3.57554620844525e-05,0.166350740319491
target,31pd_L,0.0100327070881718,0.00581495993879244,0.0100327070881718
target,31pd_R,0.00284039680871295,0.00129957700199412,0.00284039680871295
target,31pv_L,0.0417445316253282,0.000939208136164993,0.0417445316253282
target,31pv_R,0.620059605240494,3.90288066753897e-07,0.620059605240494
target,33pr_L,0.270336898479316,2.06674918779015e-05,0.270336898479316
target,33pr_R,0.0595013998144296,0.000228656675970385,0.0595013998144296
target,3a_L,0.980643492394867,7.22582882417556e-10,0.980643492394867
target,3a_R,0.921923500453865,1.36016868879097e-08,0.921923500453865
target,3b_L,0.999822677748151,4.96047647402521e-11,0.999822677748151
target,3b_R,0.990241337356819,4.96047647402521e-11,0.990241337356819
target,4_L,0.997961365154474,4.2188474935756e-12,0.997961365154474
target,4_R,0.974685707629328,2.02202699028931e-11,0.974685707629328
target,43_L,0.72308019811241,7.13757462023069e-08,0.72308019811241
target,43_R,0.90788915838939,1.6054608309446e-08,0.90788915838939
target,44_L,0.368724150675599,1.44056545199334e-05,0.368724150675599
target,44_R,0.601147937391064,3.64940955677185e-07,0.601147937391064
target,45_L,0.779405719810736,5.43619108839267e-07,0.779405719810736
target,45_R,0.161436062851756,8.75097251498147e-05,0.161436062851756
target,46_L,0.421853952662467,1.49831831741665e-06,0.421853952662467
target,46_R,0.144974795002788,5.25267648665562e-05,0.144974795002788
target,47l_L,0.748939150136367,1.8916349375786e-08,0.748939150136367
target,47l_R,0.223544059611816,3.2418472024176e-05,0.223544059611816
target,47m_L,0.138272206964885,0.000169871674874145,0.138272206964885
target,47m_R,0.72308019811241,3.64940955677185e-07,0.72308019811241
target,47s_L,0.646060229101702,2.10950650725295e-07,0.646060229101702
target,47s_R,0.206177973193247,1.5176947176343e-05,0.206177973193247
target,52_L,0.159013946388193,3.08600791711911e-05,0.159013946388193
target,52_R,0.0795522239229794,0.000305462622321784,0.0795522239229794
target,55b_L,0.928997752549103,4.18853485228965e-08,0.928997752549103
target,55b_R,0.934300452070033,1.19483265947906e-07,0.934300452070033
target,5L_L,0.117445003664317,2.9371128571043e-05,0.117445003664317
target,5L_R,0.127568717443584,3.40492488426492e-05,0.127568717443584
target,5m_L,0.833649259680509,1.28431077328628e-07,0.833649259680509
target,5m_R,0.206177973193247,5.00926122679601e-05,0.206177973193247
target,5mv_L,0.47249624378448,1.03268216733454e-06,0.47249624378448
target,5mv_R,0.804949667592432,6.87849599501079e-09,0.804949667592432
target,6a_L,0.140482966040366,0.000142843236446311,0.140482966040366
target,6a_R,0.699452228257325,1.19483265947906e-07,0.699452228257325
target,6d_L,0.890241474542531,8.28414350451113e-08,0.890241474542531
target,6d_R,0.387474019996045,1.324871691466e-06,0.387474019996045
target,6ma_L,0.033452624495725,0.000238424533572257,0.033452624495725
target,6ma_R,0.831156735399464,8.91996858598533e-08,0.831156735399464
target,6mp_L,0.674970619779678,8.28414350451113e-08,0.674970619779678
target,6mp_R,0.325029380220322,9.42205620191317e-06,0.325029380220322
target,6r_L,0.441227788354864,1.59277171896122e-06,0.441227788354864
target,6r_R,0.761381263812876,3.31399174768876e-08,0.761381263812876
target,6v_L,0.836118333823743,1.59178933145654e-07,0.836118333823743
target,6v_R,0.845759784767425,4.83407269769032e-09,0.845759784767425
target,7AL_L,0.0766212510782385,0.000201501852131969,0.0766212510782385
target,7AL_R,0.353939770898299,7.51827153422369e-07,0.353939770898299
target,7Am_L,0.241697854762489,8.75097251498147e-05,0.241697854762489
target,7Am_R,0.173898557453278,1.29708445815169e-05,0.173898557453278
target,7m_L,0.303994830582933,1.68355628904493e-05,0.303994830582933
target,7m_R,0.0241310919163116,0.000974242470745068,0.0241310919163116
target,7PC_L,0.859517033959634,2.41150548419001e-08,0.859517033959634
target,7PC_R,0.901095257029821,2.61259422984495e-08,0.901095257029821
target,7PL_L,0.021901204544454,0.00390887493428593,0.021901204544454
target,7PL_R,0.325029380220322,5.14109935245699e-06,0.325029380220322
target,7Pm_L,0.220594280189264,3.75402789050128e-05,0.220594280189264
target,7Pm_R,0.0515919280837682,0.000840795822115936,0.0515919280837682
target,8Ad_L,0.519653034166209,1.49831831741665e-06,0.519653034166209
target,8Ad_R,0.52750375621552,7.05009176371619e-07,0.52750375621552
target,8Av_L,0.300547771742675,2.02891414957662e-06,0.300547771742675
target,8Av_R,0.515724676573388,1.49831831741665e-06,0.515724676573388
target,8BL_L,0.142717154086526,3.08600791711911e-05,0.142717154086526
target,8BL_R,0.339368531631665,1.5176947176343e-05,0.339368531631665
target,8BM_L,0.335761266485028,7.58202674511211e-06,0.335761266485028
target,8BM_R,0.558772211645136,2.0519784982298e-08,0.558772211645136
target,8C_L,0.321482983863339,1.59277171896122e-06,0.321482983863339
target,8C_R,0.90788915838939,3.58448648540844e-08,0.90788915838939
target,9-46d_L,0.010313308159061,0.000622096317513865,0.010313308159061
target,9-46d_R,0.325029380220322,1.44056545199334e-05,0.325029380220322
target,9a_L,0.293706211720094,6.08047953853941e-06,0.293706211720094
target,9a_R,0.365009144969479,1.59863441329122e-05,0.365009144969479
target,9m_L,0.317952491590814,1.86606861038996e-05,0.317952491590814
target,9m_R,0.361306538916807,8.45569548069136e-06,0.361306538916807
target,9p_L,0.788122471982895,1.48237521813144e-07,0.788122471982895
target,9p_R,0.113556258906613,0.000228656675970385,0.113556258906613
target,A1_L,0.211877528017105,1.44056545199334e-05,0.211877528017105
target,A1_R,0.115489217151636,0.00016270831672216,0.115489217151636
target,a10p_L,0.519653034166209,1.03268216733454e-06,0.519653034166209
target,a10p_R,0.706293788279906,7.13757462023069e-08,0.706293788279906
target,a24_L,0.286936309149365,1.69275262784652e-06,0.286936309149365
target,a24_R,0.214760898125936,1.49831831741665e-06,0.214760898125936
target,a24pr_L,0.387474019996045,1.23042184991817e-05,0.387474019996045
target,a24pr_R,0.597335905356424,2.42379758930156e-07,0.597335905356424
target,a32pr_L,0.140482966040366,0.000155822194125577,0.140482966040366
target,a32pr_R,0.870337164086424,3.87551946090526e-08,0.870337164086424
target,A4_L,0.445120703554112,1.3670815556921e-05,0.445120703554112
target,A4_R,0.876549975317584,2.22496172597176e-08,0.876549975317584
target,a47r_L,0.93557781347398,7.50305417795972e-09,0.93557781347398
target,a47r_R,0.433459023251846,7.17735046862345e-06,0.433459023251846
target,A5_L,0.441227788354864,6.79281109228214e-06,0.441227788354864
target,A5_R,0.519653034166209,3.86940712537865e-06,0.519653034166209
target,a9-46v_L,0.0494898175502474,1.324871691466e-06,0.0494898175502474
target,a9-46v_R,0.597335905356424,7.51827153422369e-07,0.597335905356424
